show_id,Type,Title,Director,Country,Date_added,Date_Added,Release_Year,Rating,Duration,Listed_In,IMDB_Rating,IMBD_Votes
s1543,Movie,Deliha 2,Gupse Özay,Turkey,12-12-2019,10/06/2020,2018,TV-PG,102 min,"Comedies, International Movies",4.7,2554
s1672,Movie,Mike Epps: Only One Mike,Kevin Bray,United States,10/18/2019,6/23/2017,2019,TV-MA,63 min,Stand-Up Comedy,4.7,295
s1684,Movie,Luckee,Sanjay Jadhav,India,10-09-2019,10/27/2015,2019,TV-14,113 min,"Comedies, International Movies, Romantic Movies",4.7,44
s1882,Movie,A Second Chance,Cathy Garcia-Molina,Philippines,5/22/2019,4/14/2020,2015,TV-MA,130 min,"Dramas, International Movies, Romantic Movies",4.7,1018
s1937,Movie,IO,Jonathan Helpert,United States,4/26/2019,3/27/2020,2019,TV-14,96 min,"Dramas, Sci-Fi & Fantasy",4.7,33724
s2082,Movie,Katti Batti,Nikhil Advani,India,02-01-2019,12/06/2019,2015,TV-14,132 min,"Comedies, Dramas, International Movies",4.7,3137
s2340,Movie,The Maus,Yayo Herrero,Spain,10-01-2018,8/10/2020,2017,TV-MA,90 min,"Horror Movies, Independent Movies, International Movies",4.7,6331
s2574,Movie,Monster Island,Leopoldo Aguilar,India,4/27/2018,6/07/2018,2017,TV-Y7,81 min,Children & Family Movies,4.7,728
s2756,Movie,You Get Me,Brent Bonacorso,United States,11/24/2017,5/09/2020,2017,TV-MA,89 min,"Dramas, Thrillers",4.7,12740
s2899,Movie,Take the 10,Chester Tam,United States,08-01-2017,2/22/2020,2017,TV-MA,80 min,Comedies,4.7,3130
s3145,Movie,Chief Daddy,Niyi Akinmolayan,Nigeria,11/22/2016,11/22/2016,2018,TV-MA,98 min,"Comedies, Dramas, International Movies",4.7,269
s707,Movie,Once Upon a Time in Mumbai Dobaara!,Milan Luthria,India,8/28/2021,12/25/2019,2013,TV-14,142 min,"Dramas, International Movies, Music & Musicals",4.6,7127
